engine,distance_m,round,bob_received,eve_received,secure_round,key_secure_after_round,cumulative_bob_rx,cumulative_secure_rounds,cumulative_equivocation
ns3,30.0,1,1,1,0,0,1,0,0.000000
ns3,30.0,2,1,1,0,0,2,0,0.000000
ns3,30.0,3,1,0,1,1,3,1,0.703704
ns3,30.0,4,0,1,0,1,3,1,0.703704
ns3,30.0,5,1,1,0,1,4,1,0.683594
ns3,30.0,6,1,0,1,1,5,2,0.922240
ns3,30.0,7,1,0,1,1,6,3,0.984375
ns3,30.0,8,1,1,0,1,7,3,0.980105
ns3,30.0,9,1,1,0,1,8,3,0.976717
ns3,30.0,10,1,0,1,1,9,4,0.994959
ns3,30.0,11,1,0,1,1,10,5,0.999023
ns3,30.0,12,1,1,0,1,11,5,0.998728
ns3,30.0,13,1,1,0,1,12,5,0.998448
ns3,30.0,14,1,0,1,1,13,6,0.999680
ns3,30.0,15,1,0,1,1,14,7,0.999939
ns3,30.0,16,1,1,0,1,15,7,0.999920
ns3,30.0,17,0,1,0,1,15,7,0.999920
ns3,30.0,18,1,1,0,1,16,7,0.999900
ns3,30.0,19,1,1,0,1,17,7,0.999879
ns3,30.0,20,1,0,1,1,18,8,0.999975
ns3,30.0,21,1,1,0,1,19,8,0.999969
ns3,30.0,22,1,0,1,1,20,9,0.999994
ns3,30.0,23,1,1,0,1,21,9,0.999992
ns3,30.0,24,0,1,0,1,21,9,0.999992
ns3,30.0,25,1,1,0,1,22,9,0.999991
ns3,30.0,26,1,1,0,1,23,9,0.999989
ns3,30.0,27,1,1,0,1,24,9,0.999987
ns3,30.0,28,1,0,1,1,25,10,0.999997
ns3,30.0,29,1,0,1,1,26,11,0.999999
ns3,30.0,30,1,0,1,1,27,12,1.000000
ns3,30.0,31,1,0,1,1,28,13,1.000000
ns3,30.0,32,0,1,0,1,28,13,1.000000
ns3,30.0,33,1,1,0,1,29,13,1.000000
ns3,30.0,34,1,1,0,1,30,13,1.000000
ns3,30.0,35,1,1,0,1,31,13,1.000000
ns3,30.0,36,1,1,0,1,32,13,1.000000
ns3,30.0,37,1,0,1,1,33,14,1.000000
ns3,30.0,38,1,1,0,1,34,14,1.000000
ns3,30.0,39,1,1,0,1,35,14,1.000000
ns3,30.0,40,1,0,1,1,36,15,1.000000
ns3,30.0,41,1,0,1,1,37,16,1.000000
ns3,30.0,42,1,0,1,1,38,17,1.000000
ns3,30.0,43,1,1,0,1,39,17,1.000000
ns3,30.0,44,1,0,1,1,40,18,1.000000
