engine,distance_m,round,bob_received,eve_received,secure_round,key_secure_after_round,cumulative_bob_rx,cumulative_secure_rounds,cumulative_equivocation
ns3,90.0,1,1,0,1,1,1,1,1.000000
ns3,90.0,2,1,0,1,1,2,2,1.000000
ns3,90.0,3,1,1,0,1,3,2,0.962963
ns3,90.0,4,1,0,1,1,4,3,0.996094
ns3,90.0,5,1,1,0,1,5,3,0.989760
ns3,90.0,6,1,0,1,1,6,4,0.998628
ns3,90.0,7,1,0,1,1,7,5,0.999845
ns3,90.0,8,1,1,0,1,8,5,0.999609
ns3,90.0,9,1,0,1,1,9,6,0.999949
ns3,90.0,10,1,0,1,1,10,7,0.999994
ns3,90.0,11,1,0,1,1,11,8,0.999999
ns3,90.0,12,1,1,0,1,12,8,0.999998
ns3,90.0,13,1,0,1,1,13,9,1.000000
ns3,90.0,14,1,0,1,1,14,10,1.000000
ns3,90.0,15,1,0,1,1,15,11,1.000000
ns3,90.0,16,1,0,1,1,16,12,1.000000
ns3,90.0,17,1,1,0,1,17,12,1.000000
ns3,90.0,18,1,0,1,1,18,13,1.000000
ns3,90.0,19,1,0,1,1,19,14,1.000000
ns3,90.0,20,1,1,0,1,20,14,1.000000
ns3,90.0,21,1,0,1,1,21,15,1.000000
ns3,90.0,22,1,0,1,1,22,16,1.000000
ns3,90.0,23,1,0,1,1,23,17,1.000000
ns3,90.0,24,1,0,1,1,24,18,1.000000
ns3,90.0,25,1,0,1,1,25,19,1.000000
ns3,90.0,26,1,1,0,1,26,19,1.000000
ns3,90.0,27,1,0,1,1,27,20,1.000000
ns3,90.0,28,1,0,1,1,28,21,1.000000
ns3,90.0,29,1,0,1,1,29,22,1.000000
ns3,90.0,30,1,0,1,1,30,23,1.000000
ns3,90.0,31,1,0,1,1,31,24,1.000000
ns3,90.0,32,1,0,1,1,32,25,1.000000
ns3,90.0,33,1,0,1,1,33,26,1.000000
ns3,90.0,34,1,0,1,1,34,27,1.000000
ns3,90.0,35,1,1,0,1,35,27,1.000000
ns3,90.0,36,1,0,1,1,36,28,1.000000
ns3,90.0,37,1,1,0,1,37,28,1.000000
ns3,90.0,38,1,0,1,1,38,29,1.000000
ns3,90.0,39,1,0,1,1,39,30,1.000000
ns3,90.0,40,1,1,0,1,40,30,1.000000
ns3,90.0,41,1,1,0,1,41,30,1.000000
ns3,90.0,42,1,0,1,1,42,31,1.000000
ns3,90.0,43,1,1,0,1,43,31,1.000000
ns3,90.0,44,1,0,1,1,44,32,1.000000
ns3,90.0,45,1,0,1,1,45,33,1.000000
ns3,90.0,46,1,1,0,1,46,33,1.000000
ns3,90.0,47,1,0,1,1,47,34,1.000000
ns3,90.0,48,1,1,0,1,48,34,1.000000
ns3,90.0,49,1,0,1,1,49,35,1.000000
ns3,90.0,50,1,0,1,1,50,36,1.000000
ns3,90.0,51,1,0,1,1,51,37,1.000000
ns3,90.0,52,1,0,1,1,52,38,1.000000
ns3,90.0,53,1,0,1,1,53,39,1.000000
ns3,90.0,54,1,1,0,1,54,39,1.000000
ns3,90.0,55,1,0,1,1,55,40,1.000000
ns3,90.0,56,1,1,0,1,56,40,1.000000
ns3,90.0,57,1,0,1,1,57,41,1.000000
ns3,90.0,58,1,0,1,1,58,42,1.000000
ns3,90.0,59,1,0,1,1,59,43,1.000000
ns3,90.0,60,1,1,0,1,60,43,1.000000
ns3,90.0,61,1,0,1,1,61,44,1.000000
ns3,90.0,62,1,1,0,1,62,44,1.000000
ns3,90.0,63,1,1,0,1,63,44,1.000000
ns3,90.0,64,1,0,1,1,64,45,1.000000
ns3,90.0,65,1,0,1,1,65,46,1.000000
ns3,90.0,66,1,1,0,1,66,46,1.000000
ns3,90.0,67,1,0,1,1,67,47,1.000000
ns3,90.0,68,1,0,1,1,68,48,1.000000
ns3,90.0,69,1,1,0,1,69,48,1.000000
ns3,90.0,70,1,0,1,1,70,49,1.000000
ns3,90.0,71,1,0,1,1,71,50,1.000000
ns3,90.0,72,1,1,0,1,72,50,1.000000
ns3,90.0,73,1,1,0,1,73,50,1.000000
ns3,90.0,74,1,0,1,1,74,51,1.000000
ns3,90.0,75,1,0,1,1,75,52,1.000000
ns3,90.0,76,1,0,1,1,76,53,1.000000
ns3,90.0,77,1,0,1,1,77,54,1.000000
ns3,90.0,78,1,0,1,1,78,55,1.000000
ns3,90.0,79,1,0,1,1,79,56,1.000000
ns3,90.0,80,1,0,1,1,80,57,1.000000
ns3,90.0,81,1,0,1,1,81,58,1.000000
ns3,90.0,82,1,0,1,1,82,59,1.000000
