engine,distance_m,round,bob_received,eve_received,secure_round,key_secure_after_round,cumulative_bob_rx,cumulative_secure_rounds,cumulative_equivocation
ns3,40.0,1,1,1,0,0,1,0,0.000000
ns3,40.0,2,1,1,0,0,2,0,0.000000
ns3,40.0,3,1,0,1,1,3,1,0.703704
ns3,40.0,4,1,1,0,1,4,1,0.683594
ns3,40.0,5,1,0,1,1,5,2,0.922240
ns3,40.0,6,1,1,0,1,6,2,0.912209
ns3,40.0,7,1,0,1,1,7,3,0.980105
ns3,40.0,8,1,0,1,1,8,4,0.996094
ns3,40.0,9,1,0,1,1,9,5,0.999323
ns3,40.0,10,1,0,1,1,10,6,0.999895
ns3,40.0,11,1,0,1,1,11,7,0.999985
ns3,40.0,12,1,0,1,1,12,8,0.999998
ns3,40.0,13,1,0,1,1,13,9,1.000000
ns3,40.0,14,1,0,1,1,14,10,1.000000
ns3,40.0,15,1,1,0,1,15,10,1.000000
ns3,40.0,16,1,0,1,1,16,11,1.000000
ns3,40.0,17,1,0,1,1,17,12,1.000000
ns3,40.0,18,0,0,0,1,17,12,1.000000
ns3,40.0,19,0,0,0,1,17,12,1.000000
ns3,40.0,20,1,1,0,1,18,12,1.000000
ns3,40.0,21,1,1,0,1,19,12,1.000000
ns3,40.0,22,1,1,0,1,20,12,1.000000
ns3,40.0,23,1,0,1,1,21,13,1.000000
ns3,40.0,24,1,1,0,1,22,13,1.000000
ns3,40.0,25,1,1,0,1,23,13,1.000000
ns3,40.0,26,1,0,1,1,24,14,1.000000
ns3,40.0,27,1,0,1,1,25,15,1.000000
ns3,40.0,28,1,1,0,1,26,15,1.000000
ns3,40.0,29,1,0,1,1,27,16,1.000000
ns3,40.0,30,1,0,1,1,28,17,1.000000
ns3,40.0,31,1,0,1,1,29,18,1.000000
ns3,40.0,32,1,0,1,1,30,19,1.000000
ns3,40.0,33,1,1,0,1,31,19,1.000000
ns3,40.0,34,1,0,1,1,32,20,1.000000
ns3,40.0,35,1,1,0,1,33,20,1.000000
ns3,40.0,36,1,0,1,1,34,21,1.000000
ns3,40.0,37,1,1,0,1,35,21,1.000000
ns3,40.0,38,1,0,1,1,36,22,1.000000
ns3,40.0,39,1,1,0,1,37,22,1.000000
ns3,40.0,40,1,1,0,1,38,22,1.000000
ns3,40.0,41,1,1,0,1,39,22,1.000000
ns3,40.0,42,1,0,1,1,40,23,1.000000
ns3,40.0,43,1,0,1,1,41,24,1.000000
ns3,40.0,44,1,0,1,1,42,25,1.000000
ns3,40.0,45,1,0,1,1,43,26,1.000000
ns3,40.0,46,1,1,0,1,44,26,1.000000
ns3,40.0,47,1,0,1,1,45,27,1.000000
ns3,40.0,48,1,1,0,1,46,27,1.000000
ns3,40.0,49,1,0,1,1,47,28,1.000000
ns3,40.0,50,1,0,1,1,48,29,1.000000
ns3,40.0,51,1,0,1,1,49,30,1.000000
ns3,40.0,52,1,0,1,1,50,31,1.000000
ns3,40.0,53,1,1,0,1,51,31,1.000000
ns3,40.0,54,1,1,0,1,52,31,1.000000
ns3,40.0,55,1,0,1,1,53,32,1.000000
ns3,40.0,56,0,0,0,1,53,32,1.000000
ns3,40.0,57,1,1,0,1,54,32,1.000000
ns3,40.0,58,1,0,1,1,55,33,1.000000
ns3,40.0,59,1,0,1,1,56,34,1.000000
ns3,40.0,60,1,1,0,1,57,34,1.000000
ns3,40.0,61,1,1,0,1,58,34,1.000000
ns3,40.0,62,0,0,0,1,58,34,1.000000
ns3,40.0,63,1,0,1,1,59,35,1.000000
ns3,40.0,64,1,0,1,1,60,36,1.000000
ns3,40.0,65,1,0,1,1,61,37,1.000000
ns3,40.0,66,1,1,0,1,62,37,1.000000
ns3,40.0,67,1,0,1,1,63,38,1.000000
ns3,40.0,68,1,0,1,1,64,39,1.000000
ns3,40.0,69,1,1,0,1,65,39,1.000000
ns3,40.0,70,1,1,0,1,66,39,1.000000
ns3,40.0,71,1,1,0,1,67,39,1.000000
ns3,40.0,72,1,0,1,1,68,40,1.000000
ns3,40.0,73,1,1,0,1,69,40,1.000000
ns3,40.0,74,0,1,0,1,69,40,1.000000
ns3,40.0,75,1,0,1,1,70,41,1.000000
ns3,40.0,76,1,1,0,1,71,41,1.000000
ns3,40.0,77,1,1,0,1,72,41,1.000000
ns3,40.0,78,1,1,0,1,73,41,1.000000
ns3,40.0,79,1,0,1,1,74,42,1.000000
ns3,40.0,80,1,0,1,1,75,43,1.000000
ns3,40.0,81,1,1,0,1,76,43,1.000000
ns3,40.0,82,1,0,1,1,77,44,1.000000
ns3,40.0,83,1,1,0,1,78,44,1.000000
ns3,40.0,84,1,1,0,1,79,44,1.000000
ns3,40.0,85,1,0,1,1,80,45,1.000000
ns3,40.0,86,1,1,0,1,81,45,1.000000
ns3,40.0,87,1,0,1,1,82,46,1.000000
ns3,40.0,88,1,0,1,1,83,47,1.000000
ns3,40.0,89,1,0,1,1,84,48,1.000000
ns3,40.0,90,1,0,1,1,85,49,1.000000
ns3,40.0,91,0,0,0,1,85,49,1.000000
ns3,40.0,92,1,1,0,1,86,49,1.000000
ns3,40.0,93,1,1,0,1,87,49,1.000000
ns3,40.0,94,1,0,1,1,88,50,1.000000
ns3,40.0,95,1,1,0,1,89,50,1.000000
ns3,40.0,96,1,1,0,1,90,50,1.000000
ns3,40.0,97,1,1,0,1,91,50,1.000000
ns3,40.0,98,1,1,0,1,92,50,1.000000
ns3,40.0,99,1,0,1,1,93,51,1.000000
ns3,40.0,100,1,0,1,1,94,52,1.000000
ns3,40.0,101,1,0,1,1,95,53,1.000000
ns3,40.0,102,1,1,0,1,96,53,1.000000
ns3,40.0,103,1,0,1,1,97,54,1.000000
ns3,40.0,104,1,0,1,1,98,55,1.000000
ns3,40.0,105,1,1,0,1,99,55,1.000000
ns3,40.0,106,1,1,0,1,100,55,1.000000
ns3,40.0,107,1,0,1,1,101,56,1.000000
ns3,40.0,108,1,1,0,1,102,56,1.000000
ns3,40.0,109,0,1,0,1,102,56,1.000000
ns3,40.0,110,1,0,1,1,103,57,1.000000
ns3,40.0,111,1,0,1,1,104,58,1.000000
ns3,40.0,112,1,0,1,1,105,59,1.000000
ns3,40.0,113,1,0,1,1,106,60,1.000000
ns3,40.0,114,1,0,1,1,107,61,1.000000
ns3,40.0,115,1,1,0,1,108,61,1.000000
ns3,40.0,116,1,0,1,1,109,62,1.000000
ns3,40.0,117,1,0,1,1,110,63,1.000000
ns3,40.0,118,1,0,1,1,111,64,1.000000
ns3,40.0,119,1,1,0,1,112,64,1.000000
ns3,40.0,120,1,1,0,1,113,64,1.000000
ns3,40.0,121,1,0,1,1,114,65,1.000000
ns3,40.0,122,1,1,0,1,115,65,1.000000
ns3,40.0,123,1,0,1,1,116,66,1.000000
ns3,40.0,124,1,1,0,1,117,66,1.000000
ns3,40.0,125,1,0,1,1,118,67,1.000000
ns3,40.0,126,1,1,0,1,119,67,1.000000
ns3,40.0,127,1,0,1,1,120,68,1.000000
ns3,40.0,128,1,1,0,1,121,68,1.000000
ns3,40.0,129,1,0,1,1,122,69,1.000000
ns3,40.0,130,1,1,0,1,123,69,1.000000
ns3,40.0,131,1,1,0,1,124,69,1.000000
ns3,40.0,132,1,0,1,1,125,70,1.000000
ns3,40.0,133,1,1,0,1,126,70,1.000000
ns3,40.0,134,1,0,1,1,127,71,1.000000
ns3,40.0,135,1,1,0,1,128,71,1.000000
ns3,40.0,136,1,0,1,1,129,72,1.000000
ns3,40.0,137,1,0,1,1,130,73,1.000000
ns3,40.0,138,0,0,0,1,130,73,1.000000
ns3,40.0,139,1,0,1,1,131,74,1.000000
ns3,40.0,140,1,0,1,1,132,75,1.000000
ns3,40.0,141,1,0,1,1,133,76,1.000000
ns3,40.0,142,1,0,1,1,134,77,1.000000
ns3,40.0,143,1,1,0,1,135,77,1.000000
ns3,40.0,144,1,0,1,1,136,78,1.000000
ns3,40.0,145,1,1,0,1,137,78,1.000000
ns3,40.0,146,1,1,0,1,138,78,1.000000
ns3,40.0,147,1,1,0,1,139,78,1.000000
ns3,40.0,148,1,0,1,1,140,79,1.000000
ns3,40.0,149,1,1,0,1,141,79,1.000000
ns3,40.0,150,1,0,1,1,142,80,1.000000
ns3,40.0,151,1,1,0,1,143,80,1.000000
ns3,40.0,152,1,0,1,1,144,81,1.000000
ns3,40.0,153,0,1,0,1,144,81,1.000000
ns3,40.0,154,1,1,0,1,145,81,1.000000
ns3,40.0,155,1,1,0,1,146,81,1.000000
ns3,40.0,156,1,0,1,1,147,82,1.000000
ns3,40.0,157,1,0,1,1,148,83,1.000000
ns3,40.0,158,1,0,1,1,149,84,1.000000
ns3,40.0,159,1,1,0,1,150,84,1.000000
ns3,40.0,160,1,0,1,1,151,85,1.000000
ns3,40.0,161,1,1,0,1,152,85,1.000000
ns3,40.0,162,1,1,0,1,153,85,1.000000
ns3,40.0,163,1,1,0,1,154,85,1.000000
ns3,40.0,164,1,0,1,1,155,86,1.000000
ns3,40.0,165,1,1,0,1,156,86,1.000000
ns3,40.0,166,1,1,0,1,157,86,1.000000
ns3,40.0,167,1,1,0,1,158,86,1.000000
ns3,40.0,168,1,0,1,1,159,87,1.000000
ns3,40.0,169,1,0,1,1,160,88,1.000000
ns3,40.0,170,1,1,0,1,161,88,1.000000
ns3,40.0,171,1,1,0,1,162,88,1.000000
ns3,40.0,172,1,0,1,1,163,89,1.000000
ns3,40.0,173,1,1,0,1,164,89,1.000000
ns3,40.0,174,1,1,0,1,165,89,1.000000
ns3,40.0,175,1,0,1,1,166,90,1.000000
ns3,40.0,176,1,0,1,1,167,91,1.000000
ns3,40.0,177,1,1,0,1,168,91,1.000000
ns3,40.0,178,1,0,1,1,169,92,1.000000
ns3,40.0,179,1,0,1,1,170,93,1.000000
ns3,40.0,180,1,1,0,1,171,93,1.000000
ns3,40.0,181,1,0,1,1,172,94,1.000000
ns3,40.0,182,1,0,1,1,173,95,1.000000
ns3,40.0,183,1,0,1,1,174,96,1.000000
ns3,40.0,184,1,1,0,1,175,96,1.000000
ns3,40.0,185,1,1,0,1,176,96,1.000000
ns3,40.0,186,1,0,1,1,177,97,1.000000
ns3,40.0,187,1,0,1,1,178,98,1.000000
ns3,40.0,188,1,0,1,1,179,99,1.000000
ns3,40.0,189,1,1,0,1,180,99,1.000000
ns3,40.0,190,1,0,1,1,181,100,1.000000
ns3,40.0,191,1,1,0,1,182,100,1.000000
ns3,40.0,192,0,0,0,1,182,100,1.000000
ns3,40.0,193,1,1,0,1,183,100,1.000000
ns3,40.0,194,1,0,1,1,184,101,1.000000
ns3,40.0,195,1,1,0,1,185,101,1.000000
ns3,40.0,196,1,0,1,1,186,102,1.000000
ns3,40.0,197,1,0,1,1,187,103,1.000000
